Customer_ID,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans ,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker,Default_On_Payment,Count
100001,<0,6,critical account/other credits existing(not at this bank),radio/television,1169,unknown/ no savings account,>= 7 years,4,male : single, none,4,0<=100001,67,none,own,2,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100002,0<=10000,48,existing credits paid back duly till now,radio/television,5951,<1000,1 < = < 4 years,2,female : divorced/separated/married, none,2,0<=100001,22,none,own,1,skilled employee / official,1,none,yes,0,1
100003,NA,12,critical account/other credits existing(not at this bank),education,2096,<1000,4 < = < 7 years,2,male : single, none,3,0<=100001,49,none,own,1,unskilled - resident,2,none,yes,0,1
100004,<0,42,existing credits paid back duly till now,furniture/equipment,7882,<1000,4 < = < 7 years,2,male : single,guarantor,4,0<=100002,45,none,for free,1,skilled employee / official,2,none,yes,0,1
100005,<0,24,delay in paying off in the past,car (new),4870,<1000,1 < = < 4 years,3,male : single, none,4,0<=100004,53,none,for free,2,skilled employee / official,2,none,yes,1,1
100006,NA,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 < = < 4 years,2,male : single, none,4,0<=100004,35,none,for free,1,unskilled - resident,2,yes; registered under the customer�s name,yes,0,1
100007,NA,24,existing credits paid back duly till now,furniture/equipment,2835,5000 <= 10000,>= 7 years,3,male : single, none,4,0<=100002,53,none,own,1,skilled employee / official,1,none,yes,0,1
100008,0<=10000,36,existing credits paid back duly till now,car (used),6948,<1000,1 < = < 4 years,2,male : single, none,2,0<=100003,35,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,yes; registered under the customer�s name,yes,0,1
100009,NA,12,existing credits paid back duly till now,radio/television,3059,>= 10000,4 < = < 7 years,2,male : divorced/separated, none,4,0<=100001,61,none,own,1,unskilled - resident,1,none,yes,0,1
100010,0<=10000,30,critical account/other credits existing(not at this bank),car (new),5234,<1000, unemployed,4,male : married/widowed, none,2,0<=100003,28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,1
100011,0<=10000,12,existing credits paid back duly till now,car (new),1295,<1000,< 1 year,3,female : divorced/separated/married, none,1,0<=100003,25,none,rent,1,skilled employee / official,1,none,yes,1,1
100012,<0,48,existing credits paid back duly till now,business,4308,<1000,< 1 year,3,female : divorced/separated/married, none,4,0<=100002,24,none,rent,1,skilled employee / official,1,none,yes,1,1
100013,0<=10000,12,existing credits paid back duly till now,radio/television,1567,<1000,1 < = < 4 years,1,female : divorced/separated/married, none,1,0<=100003,22,none,own,1,skilled employee / official,1,yes; registered under the customer�s name,yes,0,1
100014,<0,24,critical account/other credits existing(not at this bank),car (new),1199,<1000,>= 7 years,4,male : single, none,4,0<=100003,60,none,own,2,unskilled - resident,1,none,yes,1,1
